Gender,Age,Ever_Married,Family_Size,Profession,Graduated,Work_Experience,Energy_Consumption,Preferred_Renewable,Group
Female,36,Yes,1.0,Engineer,Yes,0.0,Low,Solar,B
Male,37,Yes,4.0,Healthcare,Yes,8.0,Average,Solar,C
Female,69,Yes,1.0,,No,0.0,Low,Solar,A
Male,59,Yes,2.0,Executive,No,11.0,High,Solar,C
Female,19,No,4.0,Marketing,No,,Low,Solar,D
Male,47,Yes,5.0,Doctor,Yes,0.0,High,Hydro,C
Male,61,Yes,3.0,Doctor,Yes,5.0,Low,Solar,B
Female,47,Yes,3.0,Artist,Yes,1.0,Average,Solar,C
Male,50,Yes,4.0,Artist,Yes,2.0,Average,Solar,C
Male,19,No,4.0,Healthcare,No,0.0,Low,Solar,D
Male,22,No,3.0,Healthcare,No,0.0,Low,Solar,D
Female,22,No,6.0,Healthcare,No,0.0,Low,Solar,D
Male,50,Yes,5.0,Artist,Yes,1.0,Average,Solar,C
Male,27,No,3.0,Healthcare,No,8.0,Low,Wind,D
Male,18,No,3.0,Doctor,No,0.0,Low,Solar,D
Female,61,Yes,1.0,Artist,Yes,0.0,Low,Solar,B
Female,20,Yes,3.0,Lawyer,Yes,1.0,Average,Wind,D
Male,45,Yes,2.0,Artist,Yes,1.0,Average,Solar,C
Male,55,Yes,1.0,Artist,Yes,8.0,Low,Solar,C
Female,88,Yes,4.0,Lawyer,Yes,1.0,Average,Solar,C
Male,63,Yes,3.0,Executive,No,,High,Solar,C
Male,69,Yes,,Lawyer,No,,High,Solar,C
Male,42,No,4.0,Artist,Yes,0.0,Low,Wind,A
Male,79,Yes,2.0,Executive,No,,High,Solar,A
Female,35,Yes,3.0,Healthcare,Yes,9.0,High,Solar,A
Male,27,Yes,4.0,Executive,No,5.0,High,Solar,D
Male,52,Yes,2.0,Engineer,Yes,,Low,Solar,B
Female,29,No,4.0,Healthcare,Yes,0.0,Low,Hydro,D
Female,79,Yes,2.0,Lawyer,No,1.0,High,Solar,A
Male,87,Yes,2.0,Lawyer,Yes,,High,Solar,C
Male,89,Yes,2.0,Lawyer,No,1.0,Low,Solar,A
Male,63,Yes,3.0,Artist,Yes,9.0,Average,,C
Male,31,No,2.0,Artist,No,1.0,Low,Solar,D
Male,72,Yes,6.0,Artist,Yes,1.0,Average,Tidal,C
Female,41,Yes,2.0,Doctor,Yes,9.0,Average,,C
Female,61,No,1.0,Artist,Yes,11.0,Low,Solar,C
Male,62,Yes,2.0,Artist,Yes,0.0,Low,Solar,C
Male,56,Yes,2.0,Artist,Yes,1.0,Average,Solar,C
Male,60,Yes,5.0,Artist,Yes,2.0,Average,Solar,C
Male,68,Yes,2.0,Artist,Yes,0.0,High,Solar,C
Male,19,No,8.0,Healthcare,No,,Low,Solar,D
Male,57,Yes,3.0,Executive,Yes,8.0,High,Solar,C
Male,19,No,5.0,Healthcare,No,5.0,Low,Biomass,D
Female,51,Yes,6.0,Artist,Yes,3.0,Average,Solar,C
Female,86,Yes,2.0,Artist,No,1.0,High,Solar,A
Female,74,Yes,2.0,Lawyer,No,1.0,High,Solar,B
Male,23,No,2.0,Entertainment,No,6.0,Low,Solar,D
Male,47,Yes,2.0,Artist,Yes,0.0,Average,Solar,C
Female,19,No,6.0,Healthcare,No,7.0,Low,Solar,D
Male,50,Yes,4.0,Artist,No,0.0,High,Solar,C
Male,80,Yes,2.0,Lawyer,Yes,,High,Solar,B
Male,78,Yes,1.0,Lawyer,No,,Low,Biomass,D
Female,48,No,1.0,Doctor,Yes,0.0,Low,Solar,B
Male,70,Yes,2.0,Doctor,Yes,1.0,Average,Solar,C
Male,50,Yes,5.0,Executive,Yes,3.0,High,Solar,C
Female,83,Yes,2.0,Lawyer,Yes,0.0,High,Solar,A
Male,35,No,1.0,Entertainment,Yes,0.0,Low,Solar,A
Female,36,No,2.0,Artist,Yes,0.0,Low,Geothermal,A
Female,35,No,1.0,Artist,Yes,1.0,Low,Solar,B
Male,35,Yes,2.0,Artist,Yes,0.0,Average,Solar,C
Male,18,No,3.0,Healthcare,No,3.0,Low,Biomass,D
Female,73,Yes,2.0,Artist,Yes,1.0,Average,Solar,C
Male,62,Yes,3.0,Artist,No,1.0,High,Solar,C
Female,46,Yes,2.0,Artist,Yes,1.0,Average,Solar,C
Male,43,Yes,4.0,Entertainment,Yes,0.0,Low,Hydro,A
Female,32,No,1.0,Entertainment,Yes,7.0,Low,Solar,D
Male,39,No,1.0,Artist,Yes,0.0,Low,Solar,A
Female,89,Yes,2.0,Lawyer,Yes,0.0,High,Solar,A
